student_id,gender,major,program,GPA
0,Male,B.Tech,CSE,6.273679017
1,Male,B.Tech,ECE,6.225786605
2,Male,B.Tech,ECE,6.565273376
3,Male,B.Tech,ECE,7.689523387
4,Female,B.Tech,CSE,7.206056672
5,Male,PhD,CSE,8.892105765
6,Female,MS,CHD,7.391954854
7,Male,B.Tech,ECE,7.417061582
8,Male,MS,CND,9.157681521
9,Female,MS,ECE,7.388972746
10,Male,B.Tech,ECE,5.998628862
11,Female,B.Tech,CSE,5.950367979
12,Male,B.Tech,ECE,5.379270565
13,Female,B.Tech,ECE,6.973015418
14,Male,B.Tech,ECE,7.269440021
15,Female,B.Tech,CND,5.611111751
16,Male,B.Tech,ECE,6.193487465
17,Male,PhD,CND,7.59244705
18,Male,B.Tech,CSE,5.509735814
19,Male,B.Tech,CND,6.174916357
20,Male,MS,CHD,8.553527954
21,Female,PhD,ECE,8.021747222
22,Male,MS,CSE,7.059040902
23,Female,B.Tech,CND,6.280769066
24,Male,MS,CND,8.008452796
25,Male,B.Tech,ECE,5.917839045
26,Female,B.Tech,CSE,7.265726105
27,Female,B.Tech,CHD,7.01321772
28,Male,B.Tech,ECE,6.500293424
29,Male,B.Tech,ECE,6.51192873
30,Female,B.Tech,CSE,8.221274102
31,Male,B.Tech,CHD,6.323189799
32,Male,B.Tech,CSE,6.987861528
33,Male,B.Tech,CSE,6.225263269
34,Female,B.Tech,CSE,7.721652618
35,Male,B.Tech,ECE,8.564227939
36,Male,PhD,CHD,8.595054186
37,Female,B.Tech,CSE,8.337971025
38,Male,B.Tech,CSE,4.735296113
39,Male,B.Tech,CHD,8.52635372
40,Male,MS,CSE,8.448446578
41,Male,B.Tech,ECE,5.670550721
42,Female,B.Tech,CND,7.379078918
43,Female,PhD,ECE,7.442453102
44,Female,B.Tech,CSE,6.065499445
45,Male,MS,ECE,8.279316576
46,Male,B.Tech,CHD,7.082480247
47,Male,B.Tech,CSE,5.718373295
48,Male,B.Tech,ECE,6.779606843
49,Female,B.Tech,ECE,8.113433967
50,Female,B.Tech,CND,6.473363855
51,Female,MS,CHD,8.228594414
52,Female,B.Tech,CHD,7.31712191
53,Male,B.Tech,CHD,5.674331777
54,Male,MS,CND,6.996111347
55,Male,PhD,CSE,8.277558418
56,Male,B.Tech,CSE,5.489357977
57,Male,MS,ECE,7.732886116
58,Male,PhD,CHD,7.793133564
59,Female,MS,ECE,7.207981137
60,Female,B.Tech,CSE,7.604214099
61,Female,MS,CSE,8.57895964
62,Female,B.Tech,ECE,5.978805376
63,Male,B.Tech,ECE,6.455398202
64,Female,MS,ECE,7.458513208
65,Male,B.Tech,ECE,5.445544241
66,Male,B.Tech,ECE,6.61615601
67,Female,MS,CND,7.632756299
68,Female,B.Tech,ECE,6.587458821
69,Male,B.Tech,CSE,5.463733416
70,Male,PhD,ECE,9.117405625
71,Male,MS,ECE,7.685838871
72,Male,B.Tech,CSE,6.873520763
73,Female,B.Tech,CSE,7.933620349
74,Female,B.Tech,ECE,8.473541677
75,Male,B.Tech,ECE,6.866256927
76,Male,B.Tech,CHD,6.006998073
77,Male,B.Tech,CSE,6.198398002
78,Male,B.Tech,CND,7.19518403
79,Female,B.Tech,CND,5.530070214
80,Male,B.Tech,CND,6.118411612
81,Male,B.Tech,ECE,8.982871645
82,Female,B.Tech,CSE,7.947528575
83,Male,PhD,CND,8.622272138
84,Male,PhD,CSE,8.991403267
85,Male,B.Tech,ECE,6.398940388
86,Male,B.Tech,CSE,7.768492775
87,Female,B.Tech,CSE,7.969900736
88,Female,B.Tech,ECE,6.735380136
89,Male,B.Tech,CSE,4.3139095
90,Male,MS,CSE,7.644194463
91,Male,B.Tech,ECE,7.132219412
92,Male,MS,CHD,8.317690001
93,Male,B.Tech,CSE,7.864582626
94,Female,B.Tech,ECE,8.450744563
95,Male,B.Tech,CHD,5.901712866
96,Male,B.Tech,ECE,7.593989745
97,Male,MS,ECE,7.884715448
98,Male,B.Tech,ECE,7.152061141
99,Male,MS,CHD,8.343140127
100,Female,MS,CHD,7.127926165
101,Male,MS,CND,7.907759894
102,Male,B.Tech,ECE,6.625338674
103,Male,MS,CSE,7.692786956
104,Male,MS,ECE,7.436463256
105,Female,B.Tech,CND,6.581604201
106,Male,MS,ECE,8.541144099
107,Female,B.Tech,CND,6.280158041
108,Male,B.Tech,CSE,7.392134066
109,Male,B.Tech,ECE,6.800905595
110,Male,B.Tech,CSE,7.777270271
111,Male,B.Tech,CSE,6.624445726
112,Female,B.Tech,CHD,7.005838979
113,Male,B.Tech,ECE,6.94352339
114,Male,MS,ECE,7.4254445
115,Male,B.Tech,CSE,6.606531079
